a,b,c,d
3750 -ÿEspinhel,1,7,"7,"
3750 -ÿFermentelos,1,8,"8,"
3750 -ÿLamas do Vouga,1,9,"9,"
3750 -ÿMacieira de Alcoba,1,10,"10,"
3750 -ÿMacinhata do Vouga,1,11,"11,"
3750 -ÿàis da Ribeira,1,12,"12,"
3750 -ÿPr‚stimo,1,13,"13,"
3750 -ÿRecardÆes,1,14,"14,"
3750 -ÿSegadÆes,1,15,"15,"
3750 -ÿTravass“,1,16,"16,"
3750 -ÿTrofa,1,17,"17,"
3750 -ÿValongo do Vouga,1,18,"18,"
3750 -ÿBorralha,1,19,"19,"
Albergaria-a-Velha Municipality[edit],0,20,"20,"
3850 -ÿAlbergaria-a-Velha,1,0,"0,"
3850 -ÿAlquerubim,1,1,"1,"
3850 -ÿAngeja,1,2,"2,"
3850 -ÿBranca,1,3,"3,"
3850 -ÿFrossos,1,4,"4,"
3850 -ÿRibeira de Fr guas,1,5,"5,"
3850 -ÿSÆo JoÆo de Loure,1,6,"6,"
3850 -ÿValmaior,1,7,"7,"
Anadia Municipality[edit],0,8,"8,"
3780 -ÿAmoreira da Gƒndara,1,0,"0,"
3780 -ÿAncas,1,1,"1,"
3780 -ÿArcos,1,2,"2,"
3780 -ÿAvelÆs de Caminho,1,3,"3,"
3780 -ÿAvelÆs de Cima,1,4,"4,"
3780 -ÿMogofores,1,5,"5,"
3780 -ÿMoita,1,6,"6,"
3780 -ÿàis do Bairro,1,7,"7,"
3780 -ÿSangalhos,1,8,"8,"
3780 -ÿSÆo Louren‡o do Bairro,1,9,"9,"
3780 -ÿTamengos,1,10,"10,"
3780 -ÿVila Nova de Monsarros,1,11,"11,"
3780 -ÿVilarinho do Bairro,1,12,"12,"
3780 -ÿParedes do Bairro,1,13,"13,"
3780 -ÿAguim,1,14,"14,"
Aroucaÿmunicipality[edit],0,15,"15,"
4540 -ÿAlbergaria da Serra,1,0,"0,"
4540 -ÿAlvarenga,1,1,"1,"
4540 -ÿArouca,1,2,"2,"
4540 -ÿBurgo,1,3,"3,"
4540 -ÿCabreiros,1,4,"4,"
4540 -ÿCanelas,1,5,"5,"
4540 -ÿChave,1,6,"6,"
4540 -ÿCovelo de Paiv¢,1,7,"7,"
4540 -ÿEscariz,1,8,"8,"
4540 -ÿEspiunca,1,9,"9,"
4540 -ÿFermedo,1,10,"10,"
4540 -ÿJanarde,1,11,"11,"
4540 -ÿMansores,1,12,"12,"
4540 -ÿMoldes,1,13,"13,"
4540 -ÿRossas,1,14,"14,"
4540 -ÿSanta Eul lia,1,15,"15,"
4540 -ÿSÆo Miguel do Mato,1,16,"16,"
4540 -ÿTrope‡o,1,17,"17,"
4540 -ÿUrr“,1,18,"18,"
4540 -ÿV rzea,1,19,"19,"
Aveiro Municipality[edit],0,20,"20,"
3810 -ÿAradas,1,0,"0,"
3800 -ÿCacia,1,1,"1,"
3800 -ÿEirol,1,2,"2,"
3800 -ÿEixo,1,3,"3,"
3800 -ÿEsgueira,1,4,"4,"
3810 -ÿGl¢ria,1,5,"5,"
3810 -ÿNariz,1,6,"6,"
3810 -ÿOliveirinha,1,7,"7,"
3800 -ÿRequeixo,1,8,"8,"
3810 -ÿSÆo Bernardo,1,9,"9,"
3800 -ÿSÆo Jacinto,1,10,"10,"
3800 -ÿVera Cruz,1,11,"11,"
3810 -ÿSanta Joana,1,12,"12,"
3810 -ÿNossa Senhora de F tima,1,13,"13,"
Castelo de Paiva Municipality[edit],0,14,"14,"
4550 -ÿBairros,1,0,"0,"
4550 -ÿFornos,1,1,"1,"
4550 -ÿPara¡so,1,2,"2,"
4550 -ÿPedorido,1,3,"3,"
4550 -ÿRaiva,1,4,"4,"
4550 -ÿReal,1,5,"5,"
4550 -ÿSanta Maria de Sardoura,1,6,"6,"
4550 -ÿSÆo Martinho de Sardoura,1,7,"7,"
4550 -ÿSobrado,1,8,"8,"
Espinho Municipality[edit],0,9,"9,"
4500 -ÿAnta,1,0,"0,"
4500 -ÿEspinho,1,1,"1,"
4500 -ÿGuetim,1,2,"2,"
4500 -ÿParamos,1,3,"3,"
4500 -ÿSilvalde,1,4,"4,"
Estarreja Municipality[edit],0,5,"5,"
3860 -ÿAvanca,1,0,"0,"
3860 -ÿBedu¡do,1,1,"1,"
3865 -ÿCanelas,1,2,"2,"
3865 -ÿFermelÆ,1,3,"3,"
3860 -ÿPardilh¢,1,4,"4,"
3865 -ÿSalreu,1,5,"5,"
3860 -ÿVeiros,1,6,"6,"
Santa Maria da Feira Municipality[edit],0,7,"7,"
4505 -ÿArgoncilhe,1,0,"0,"
3700 -ÿArrifana,1,1,"1,"
4525 -ÿCanedo,1,2,"2,"
4520 -ÿEscapÆes,1,3,"3,"
4520 -ÿEspargo,1,4,"4,"
4520 -ÿFeira,1,5,"5,"
4505 -ÿFiÆes,1,6,"6,"
4520 -ÿFornos,1,7,"7,"
4525 -ÿGiÆo,1,8,"8,"
4525 -ÿGuisande,1,9,"9,"
4505 -ÿLobÆo,1,10,"10,"
4525 -ÿLouredo,1,11,"11,"
4535 -ÿLourosa,1,12,"12,"
3700 -ÿMilheir¢s de Poiares,1,13,"13,"
4520 -ÿMosteir¢,1,14,"14,"
4535 -ÿMozelos,1,15,"15,"
4500 -ÿNogueira da Regedoura,1,16,"16,"
4535 -ÿSÆo Paio de Oleiros,1,17,"17,"
4535 -ÿPa‡os de BrandÆo,1,18,"18,"
4505 -ÿPigeiros,1,19,"19,"
4520 -ÿRio MeÆo,1,20,"20,"
3700 -ÿRomariz,1,21,"21,"
4520 -ÿSanfins,1,22,"22,"
4505 -ÿSanguedo,1,23,"23,"
4535 -ÿSanta Maria de Lamas,1,24,"24,"
4520 -ÿSÆo JoÆo de Ver,1,25,"25,"
4505 -ÿCaldas de SÆo Jorge,1,26,"26,"
4520 -ÿSouto,1,27,"27,"
4520 -ÿTravanca,1,28,"28,"
4525 -ÿVale,1,29,"29,"
4525 -ÿVila Maior (Santa Maria da Feira),1,30,"30,"
Ölhavo Municipality[edit],0,31,"31,"
3830 -ÿGafanha do Carmo,1,0,"0,"
3830 -ÿGafanha da Encarna‡Æo,1,1,"1,"
3830 -ÿGafanha da Nazar‚,1,2,"2,"
3830 -ÿÖlhavo (SÆo Salvador),1,3,"3,"
Ovar Municipality[edit],0,4,"4,"
3885 -ÿArada,1,0,"0,"
3885 -ÿCortega‡a,1,1,"1,"
3885 -ÿEsmoriz,1,2,"2,"
3885 -ÿMaceda,1,3,"3,"
3880 -ÿOvar,1,4,"4,"
3880 -ÿSÆo Vicente de Pereira JusÆ,1,5,"5,"
3880 -ÿV lega,1,6,"6,"
3880 -ÿSÆo JoÆo,1,7,"7,"
SÆo JoÆo da Madeiraÿmunicipality[edit],0,8,"8,"
3700 -ÿSÆo JoÆo da Madeira,1,0,"0,"
Sever do Vougaÿmunicipality[edit],0,1,"1,"
3740 -ÿCedrim,1,0,"0,"
3740 -ÿCouto de Esteves,1,1,"1,"
3740 -ÿParadela,1,2,"2,"
3740 -ÿPessegueiro do Vouga,1,3,"3,"
3740 -ÿRocas do Vouga,1,4,"4,"
3740 -ÿSever do Vouga,1,5,"5,"
3740 -ÿSilva Escura,1,6,"6,"
3740 -ÿTalhadas,1,7,"7,"
3740 -ÿDornelas,1,8,"8,"
Vagos Municipality[edit],0,9,"9,"
3840 -ÿCalvÆo,1,0,"0,"
3840 -ÿCovÆo do Lobo,1,1,"1,"
3840 -ÿFonte de AngeÆo,1,2,"2,"
3840 -ÿGafanha da Boa Hora,1,3,"3,"
3840 -ÿOuca,1,4,"4,"
3840 -ÿPonte de Vagos,1,5,"5,"
3840 -ÿSosa,1,6,"6,"
3840 -ÿVagos,1,7,"7,"
3840 -ÿSanto Ant¢nio de Vagos,1,8,"8,"
3840 -ÿSanto Andr‚ de Vagos,1,9,"9,"
3840 -ÿSanta Catarina,1,10,"10,"
Vale de Cambraÿmunicipality[edit],0,11,"11,"
3730 -ÿAräes,1,0,"0,"
3730 -ÿSÆo Pedro de Casteläes,1,1,"1,"
3730 -ÿCepelos,1,2,"2,"
3730 -ÿCodal,1,3,"3,"
3730 -ÿJunqueira,1,4,"4,"
3730 -ÿMacieira de Cambra,1,5,"5,"
3730 -ÿR“ge,1,6,"6,"
3730 -ÿVila ChÆ,1,7,"7,"
3730 -ÿVila Cova de Perrinho,1,8,"8,"
,0,9,"9,"
Beja District[edit],0,0,"0,"
Aljustrelÿmunicipality[edit],0,0,"0,"
7600 -ÿAljustrel,1,0,"0,"
7600 -ÿErvidel,1,1,"1,"
7600 -ÿMessejana,1,2,"2,"
7600 -ÿSÆo JoÆo de Negrilhos,1,3,"3,"
7600 -ÿRio de Moinhos,1,4,"4,"
Almod“varÿmunicipality[edit],0,5,"5,"
7700 -ÿAlmod“var,1,0,"0,"
7700 -ÿGomes Aires,1,1,"1,"
7700 -ÿRos rio,1,2,"2,"
7700 -ÿSanta Clara-a-Nova,1,3,"3,"
7700 -ÿSanta Cruz,1,4,"4,"
7700 -ÿSÆo Barnab‚,1,5,"5,"
7700 -ÿSenhora da Gra‡a de Padräes,1,6,"6,"
7700 -ÿAldeia dos Fernandes,1,7,"7,"
Alvito Municipality[edit],0,8,"8,"
7920 -ÿAlvito,1,0,"0,"
7920 -ÿVila Nova da Baronia,1,1,"1,"
Barrancosÿmunicipality[edit],0,2,"2,"
7230 -ÿBarrancos,1,0,"0,"
Bejaÿmunicipality[edit],0,1,"1,"
7800 -ÿAlbernoa,1,0,"0,"
7800 -ÿBaleizÆo,1,1,"1,"
7800 -ÿBeringel,1,2,"2,"
7800 -ÿCabe‡a Gorda,1,3,"3,"
7800 -ÿMombeja,1,4,"4,"
7800 -ÿNossa Senhora das Neves,1,5,"5,"
7800 -ÿQuintos,1,6,"6,"
7800 -ÿSalvada,1,7,"7,"
7800 -ÿSalvador,1,8,"8,"
7800 -ÿSanta Clara de Louredo,1,9,"9,"
7800 -ÿSanta Maria da Feira,1,10,"10,"
7800 -ÿSanta Vit¢ria,1,11,"11,"
7800 -ÿSantiago Maior,1,12,"12,"
7800 -ÿSÆo Brissos,1,13,"13,"
7800 -ÿSÆo JoÆo Baptista,1,14,"14,"
7800 -ÿSÆo Matias,1,15,"15,"
7800 -ÿTrindade,1,16,"16,"
7800 -ÿTrigaches,1,17,"17,"
Castro Verdeÿmunicipality[edit],0,18,"18,"
7780 -ÿCas‚vel,1,0,"0,"
7780 -ÿCastro Verde,1,1,"1,"
7780 -ÿEntradas,1,2,"2,"
7780 -ÿSanta B rbara de Padräes,1,3,"3,"
7780 -ÿSÆo Marcos da Ataboeira,1,4,"4,"
Cubaÿmunicipality[edit],0,5,"5,"
7940 -ÿCuba,1,0,"0,"
7940 -ÿFaro do Alentejo,1,1,"1,"
7940 -ÿVila Alva,1,2,"2,"
7940 -ÿVila Ruiva,1,3,"3,"
Ferreira do Alentejoÿmunicipality[edit],0,4,"4,"
7900 -ÿAlfundÆo,1,0,"0,"
7900 -ÿFerreira do Alentejo,1,1,"1,"
7900 -ÿFigueira dos Cavaleiros,1,2,"2,"
7900 -ÿOdivelas,1,3,"3,"
7900 -ÿPeroguarda,1,4,"4,"
7900 -ÿCanhestros,1,5,"5,"
M‚rtolaÿmunicipality[edit],0,6,"6,"
7750 -ÿAlcaria Ruiva,1,0,"0,"
7750 -ÿCorte do Pinto,1,1,"1,"
7750 -ÿEsp¡rito Santo,1,2,"2,"
7750 -ÿM‚rtola,1,3,"3,"
7750 -ÿSantana de Cambas,1,4,"4,"
7750 -ÿSÆo JoÆo dos Caldeireiros,1,5,"5,"
7750 -ÿSÆo Miguel do Pinheiro,1,6,"6,"
7750 -ÿSÆo Pedro de Solis,1,7,"7,"
7750 -ÿSÆo SebastiÆo dos Carros,1,8,"8,"
Mouraÿmunicipality[edit],0,9,"9,"
7885 -ÿAmareleja,1,0,"0,"
7885 -ÿP¢voa de SÆo Miguel,1,1,"1,"
7875 -ÿSafara,1,2,"2,"
7860 -ÿSanto Agostinho,1,3,"3,"
7875 -ÿSanto Aleixo da Restaura‡Æo,1,4,"4,"
7875 -ÿSanto Amador,1,5,"5,"
7860 -ÿSÆo JoÆo Baptista,1,6,"6,"
7875 -ÿSobral da Adi‡a,1,7,"7,"
Odemiraÿmunicipality[edit],0,8,"8,"
7630 -ÿColos,1,0,"0,"
7630 -ÿRel¡quias,1,1,"1,"
7665 -ÿSab¢ia,1,2,"2,"
7665 -ÿSanta Clara-a-Velha,1,3,"3,"
7630 -ÿSanta Maria,1,4,"4,"
7630 -ÿSÆo Lu¡s,1,5,"5,"
7630 -ÿSÆo Martinho das Amoreiras,1,6,"6,"
7630 -ÿSÆo Salvador,1,7,"7,"
7630 -ÿSÆo Teot¢nio,1,8,"8,"
7630 -ÿVale de Santiago,1,9,"9,"
7645 -ÿVila Nova de Milfontes,1,10,"10,"
7665 -ÿPereiras-Gare,1,11,"11,"
7630 -ÿBicos,1,12,"12,"
7630 - [[Zambujeira do Mar],1,13,"13,"
],1,14,"14,"
7665 -ÿLuzianes-Gare,1,15,"15,"
7630 -ÿBoavista dos Pinheiros,1,16,"16,"
7630 -ÿLongueira/Almograve,1,17,"17,"
Ourique Municipality[edit],0,18,"18,"
7670 -ÿConcei‡Æo,1,0,"0,"
7670 -ÿGarvÆo,1,1,"1,"
7670 -ÿOurique,1,2,"2,"
7670 -ÿPanoias,1,3,"3,"
7670 -ÿSanta Luzia,1,4,"4,"
7670 -ÿSantana da Serra,1,5,"5,"
Serpaÿmunicipality[edit],0,6,"6,"
7830 -ÿVila Nova de SÆo Bento,1,0,"0,"
7830 -ÿBrinches,1,1,"1,"
7830 -ÿPias,1,2,"2,"
7830 -ÿSalvador,1,3,"3,"
7830 -ÿSanta Maria,1,4,"4,"
7830 -ÿVale de Vargo,1,5,"5,"
7830 -ÿVila Verde de Ficalho,1,6,"6,"
Vidigueiraÿmunicipality[edit],0,7,"7,"
7960 -ÿPedr¢gÆo,1,0,"0,"
7960 -ÿSelmes,1,1,"1,"
7960 -ÿVidigueira,1,2,"2,"
7960 -ÿVila de Frades,1,3,"3,"
,0,4,"4,"
Braga District[edit],0,0,"0,"
Amaresÿmunicipality[edit],0,0,"0,"
4720 -ÿAmares,1,0,"0,"
4720 -ÿBarreiros,1,1,"1,"
4720 -ÿBesteiros,1,2,"2,"
4720 -ÿBico,1,3,"3,"
4720 -ÿCaires,1,4,"4,"
4720 -ÿCaldelas,1,5,"5,"
4720 -ÿCarrazedo,1,6,"6,"
4720 -ÿDornelas,1,7,"7,"
4720 -ÿFerreiros,1,8,"8,"
4720 -ÿFigueiredo,1,9,"9,"
4720 -ÿFiscal,1,10,"10,"
4720 -ÿGoÆes,1,11,"11,"
4720 -ÿLago,1,12,"12,"
4720 -ÿParanhos,1,13,"13,"
4720 -ÿParedes Secas,1,14,"14,"
4720 -ÿPortela,1,15,"15,"
4720 -ÿProzelo,1,16,"16,"
4720 -ÿRendufe,1,17,"17,"
4720 -ÿBouro (Santa Maria),1,18,"18,"
4720 -ÿBouro (Santa Marta),1,19,"19,"
4720 -ÿSequeiros,1,20,"20,"
4720 -ÿSeramil,1,21,"21,"
4720 -ÿTorre,1,22,"22,"
4720 -ÿVilela,1,23,"23,"
Barcelos Municipality[edit],0,24,"24,"
4750 -ÿAbade de Neiva,1,0,"0,"
4750 -ÿAborim,1,1,"1,"
4755 -ÿAdÆes,1,2,"2,"
4750 -ÿAguiar,1,3,"3,"
4755 -ÿAir¢,1,4,"4,"
4905 -ÿAldreu,1,5,"5,"
4750 -ÿAlheira,1,6,"6,"
4755 -ÿAlvelos,1,7,"7,"
4750 -ÿArcozelo,1,8,"8,"
4750 -ÿAreias,1,9,"9,"
4755 -ÿAreias de Vilar,1,10,"10,"
4905 -ÿBalugÆes,1,11,"11,"
4755 -ÿBarcelinhos,1,12,"12,"
4750 -ÿBarcelos,1,13,"13,"
4740 -ÿBarqueiros,1,14,"14,"
4775 -ÿCambeses,1,15,"15,"
4750 -ÿCampo,1,16,"16,"
4750 -ÿCarape‡os,1,17,"17,"
4775 -ÿCarreira,1,18,"18,"
4755 -ÿCarvalhal,1,19,"19,"
4755 -ÿCarvalhos,1,20,"20,"
4775 -ÿChavÆo,1,21,"21,"
4755 -ÿChorente,1,22,"22,"
4750 -ÿCossourado,1,23,"23,"
4755 -ÿCourel,1,24,"24,"
4750 -ÿCouto,1,25,"25,"
4750 -ÿCreixomil,1,26,"26,"
4755 -ÿCristelo,1,27,"27,"
4905 -ÿDurrÆes,1,28,"28,"
4755 -ÿEncourados,1,29,"29,"
4755 -ÿFaria,1,30,"30,"
4750 -ÿFeitos,1,31,"31,"
4775 -ÿFonte Coberta,1,32,"32,"
4755 -ÿFornelos,1,33,"33,"
4905 -ÿFragoso,1,34,"34,"
4755 -ÿGamil,1,35,"35,"
4755 -ÿGilmonde,1,36,"36,"
4755 -ÿGoios,1,37,"37,"
4775 -ÿGrimancelos,1,38,"38,"
4755 -ÿGueral,1,39,"39,"
4750 -ÿIgreja Nova,1,40,"40,"
4750 -ÿLama,1,41,"41,"
4750 -ÿLij¢,1,42,"42,"
4755 -ÿMacieira de Rates,1,43,"43,"
4750 -ÿManhente,1,44,"44,"
4750 -ÿMariz,1,45,"45,"
4755 -ÿMartim,1,46,"46,"
4755 -ÿMidäes,1,47,"47,"
4755 -ÿMilhazes,1,48,"48,"
4775 -ÿMinhotÆes,1,49,"49,"
4775 -ÿMonte de FralÆes,1,50,"50,"
4755 -ÿMoure,1,51,"51,"
4775 -ÿNegreiros,1,52,"52,"
4750 -ÿOliveira,1,53,"53,"
4905 -ÿPalme,1,54,"54,"
4750 -ÿPanque,1,55,"55,"
4755 -ÿParadela,1,56,"56,"
"4755 - Pedra Furada (Chorente, G¢ios, Courel, Pedra Furada e Gueral)",1,57,"57,"
4755 -ÿPereira,1,58,"58,"
4750 -ÿPerelhal,1,59,"59,"
4755 -ÿPousa,1,60,"60,"
4750 -ÿQuintiÆes,1,61,"61,"
4755 -ÿRemelhe,1,62,"62,"
4750 -ÿRoriz,1,63,"63,"
4755 -ÿRio Covo (Santa Eug‚nia),1,64,"64,"
4755 -ÿRio Covo (Santa Eul lia),1,65,"65,"
4750 -ÿTamel (Santa Leoc dia),1,66,"66,"
4750 -ÿGalegos (Santa Maria),1,67,"67,"
4755 -ÿBastu‡o (Santo EstevÆo),1,68,"68,"
4755 -ÿBastu‡o (SÆo JoÆo),1,69,"69,"
4750 -ÿAlvito (SÆo Martinho),1,70,"70,"
4750 -ÿGalegos (SÆo Martinho),1,71,"71,"
4750 -ÿVila Frescainha (SÆo Martinho),1,72,"72,"
4750 -ÿAlvito (SÆo Pedro),1,73,"73,"
4750 -ÿVila Frescainha (SÆo Pedro),1,74,"74,"
4750 -ÿTamel (SÆo Pedro Fins),1,75,"75,"
4750 -ÿTamel (SÆo Ver¡ssimo),1,76,"76,"
4755 -ÿSequeade,1,77,"77,"
4750 -ÿSilva,1,78,"78,"
4775 -ÿSilveiros,1,79,"79,"
4905 -ÿTregosa,1,80,"80,"
4750 -ÿUcha,1,81,"81,"
4755 -ÿV rzea,1,82,"82,"
4775 -ÿViatodos,1,83,"83,"
4750 -ÿVila Boa,1,84,"84,"
4750 -ÿVila Cova,1,85,"85,"
4755 -ÿVila Seca,1,86,"86,"
4755 -ÿVilar de Figos,1,87,"87,"
4750 -ÿVilar do Monte,1,88,"88,"
Braga Municipality[edit],0,89,"89,"
4710 -ÿAda£fe,1,0,"0,"
4705 -ÿArcos,1,1,"1,"
4705 -ÿArentim,1,2,"2,"
4705 -ÿAveleda,1,3,"3,"
4705 -ÿCabreiros,1,4,"4,"
4705 -ÿCeleir¢s,1,5,"5,"
4700 -ÿCividade,1,6,"6,"
4710 -ÿCrespos,1,7,"7,"
4705 -ÿCunha,1,8,"8,"
4700 -ÿDume,1,9,"9,"
4705 -ÿEscudeiros,1,10,"10,"
4715 -ÿEspinho,1,11,"11,"
4705 -ÿEsporäes,1,12,"12,"
4705 -ÿFerreiros,1,13,"13,"
4705 -ÿFigueiredo,1,14,"14,"
4715 -ÿFraiÆo,1,15,"15,"
4700 -ÿFrossos,1,16,"16,"
4705 -ÿGondizalves,1,17,"17,"
4710 -ÿGualtar,1,18,"18,"
4705 -ÿGuisande,1,19,"19,"
4715 -ÿLama‡Æes,1,20,"20,"
4705 -ÿLamas,1,21,"21,"
4705 -ÿLomar,1,22,"22,"
4700 -ÿMaximinos,1,23,"23,"
4700 -ÿMire de TibÆes,1,24,"24,"
4705 -ÿMorreira,1,25,"25,"
4710 -ÿNavarra,1,26,"26,"
4715 -ÿNogueira,1,27,"27,"
4715 -ÿNogueir¢,1,28,"28,"
4700 -ÿPadim da Gra‡a,1,29,"29,"
4700 -ÿPalmeira,1,30,"30,"
4700 -ÿPanoias,1,31,"31,"
4700 -ÿParada de TibÆes,1,32,"32,"
4715 -ÿPedralva,1,33,"33,"
4710 -ÿPousada,1,34,"34,"
4705 -ÿPriscos,1,35,"35,"
4700 -ÿReal,1,36,"36,"
4705 -ÿRu¡lhe,1,37,"37,"
4710 -ÿSanta Lucr‚cia de Algeriz,1,38,"38,"
4705 -ÿPenso (Santo EstˆvÆo),1,39,"39,"
4700 -ÿSÆo JoÆo do Souto,1,40,"40,"
4705 -ÿSÆo Jos‚ de SÆo L zaro,1,41,"41,"
4700 -ÿPassos (SÆo JuliÆo),1,42,"42,"
4715 -ÿSÆo Mamede Este,1,43,"43,"
4700 -ÿSÆo Paio Merelim,1,44,"44,"
4715 -ÿSÆo Pedro (Este),1,45,"45,"
4700 -ÿSÆo Pedro Merelim,1,46,"46,"
4705 -ÿSÆo Pedro Oliveira,1,47,"47,"
4700 -ÿSÆo Vicente,1,48,"48,"
4705 -ÿSÆo Vicente Penso,1,49,"49,"
4710 -ÿSÆo Victor,1,50,"50,"
4700 -ÿS‚,1,51,"51,"
4705 -ÿSemelhe,1,52,"52,"
4709 -ÿSequeira,1,53,"53,"
4715 -ÿSobreposta,1,54,"54,"
4705 -ÿTadim,1,55,"55,"
4705 -ÿTebosa,1,56,"56,"
4715 -ÿTenäes,1,57,"57,"
4705 -ÿTrandeiras,1,58,"58,"
4705 -ÿVila‡a,1,59,"59,"
4705 -ÿVimieiro,1,60,"60,"
4705 -ÿFradelos,1,61,"61,"
Cabeceiras de Basto Municipality[edit],0,62,"62,"
4860 -ÿAbadim,1,0,"0,"
4860 -ÿAlvite,1,1,"1,"
4860 -ÿArco de Ba£lhe,1,2,"2,"
4860 -ÿBasto,1,3,"3,"
4860 -ÿBucos,1,4,"4,"
4860 -ÿCabeceiras de Basto,1,5,"5,"
4860 -ÿCavez,1,6,"6,"
4860 -ÿFaia,1,7,"7,"
4860 -ÿGondiÆes,1,8,"8,"
4860 -ÿOuteiro,1,9,"9,"
4860 -ÿPainzela,1,10,"10,"
4860 -ÿPassos,1,11,"11,"
4860 -ÿPedra‡a,1,12,"12,"
4860 -ÿRefojos de Basto,1,13,"13,"
4860 -ÿRio Douro,1,14,"14,"
4860 -ÿVila Nune,1,15,"15,"
4860 -ÿVilar de Cunhas,1,16,"16,"
Celorico de Bastoÿmunicipality[edit],0,17,"17,"
4615 -ÿAgilde,1,0,"0,"
4890 -ÿArnoia,1,1,"1,"
4890 -ÿBorba de Montanha,1,2,"2,"
4890 -ÿBritelo,1,3,"3,"
4890 -ÿCa‡arilhe,1,4,"4,"
4890 -ÿCanedo de Basto,1,5,"5,"
4890 -ÿCarvalho,1,6,"6,"
4890 -ÿCode‡oso,1,7,"7,"
4890 -ÿCorgo,1,8,"8,"
4890 -ÿFerven‡a,1,9,"9,"
4890 -ÿGagos,1,10,"10,"
4890 -ÿG‚meos,1,11,"11,"
4890 -ÿInfesta,1,12,"12,"
4890 -ÿMolares,1,13,"13,"
4890 -ÿMoreira do Castelo,1,14,"14,"
4890 -ÿOurilhe,1,15,"15,"
4820 -ÿRego,1,16,"16,"
4890 -ÿRibas,1,17,"17,"
4890 -ÿBasto (Santa Tecla),1,18,"18,"
4890 -ÿBasto (SÆo Clemente),1,19,"19,"
4890 -ÿVale de Bouro,1,20,"20,"
4890 -ÿVeade,1,21,"21,"
Esposendeÿmunicipality[edit],0,22,"22,"
4740 -ÿAntas,1,0,"0,"
4740 -ÿAp£lia,1,1,"1,"
4740 -ÿBelinho,1,2,"2,"
4740 -ÿCurvos,1,3,"3,"
4740 -ÿEsposende,1,4,"4,"
4740 -ÿFÆo,1,5,"5,"
4740 -ÿFonte Boa,1,6,"6,"
4740 -ÿForjÆes,1,7,"7,"
4740 -ÿGandra,1,8,"8,"
4740 -ÿGemeses,1,9,"9,"
4740 -ÿMar,1,10,"10,"
4740 -ÿMarinhas,1,11,"11,"
4740 -ÿPalmeira de Faro,1,12,"12,"
4740 -ÿRio Tinto,1,13,"13,"
4740 -ÿVila ChÆ,1,14,"14,"
Fafeÿmunicipality[edit],0,15,"15,"
4820 -ÿAboim,1,0,"0,"
4820 -ÿAgrela,1,1,"1,"
4820 -ÿAntime,1,2,"2,"
4820 -ÿArdegÆo,1,3,"3,"
4820 -ÿArmil,1,4,"4,"
4820 -ÿArnozela,1,5,"5,"
4820 -ÿCepÆes,1,6,"6,"
4820 -ÿEstorÆos,1,7,"7,"
4820 -ÿFafe,1,8,"8,"
4820 -ÿFareja,1,9,"9,"
4820 -ÿFelgueiras,1,10,"10,"
4820 -ÿFornelos,1,11,"11,"
4820 -ÿFreitas,1,12,"12,"
4820 -ÿGolÆes,1,13,"13,"
4820 -ÿGontim,1,14,"14,"
4820 -ÿMedelo,1,15,"15,"
4820 -ÿMonte,1,16,"16,"
4820 -ÿMoreira do Rei,1,17,"17,"
4820 -ÿPassos,1,18,"18,"
